ID,COGNOME,NOME_COMPLETO,RUOLO,VALORE,SQUADRA,NAZIONALITA,CAMPIONCINO
6434,Yildiz,Kenan Yildiz,A,25,Juventus,Turchia;Germania,https://content.fantacalcio.it/web/campioncini/20/card/6434.png?v=341
5544,David,Jonathan David,A,28,Juventus,Canada;Stati Uniti,https://content.fantacalcio.it/web/campioncini/20/card/5544.png?v=341
2012,Milik,Arkadiusz Milik,A,1,Juventus,Polonia,https://content.fantacalcio.it/web/campioncini/20/card/2012.png?v=341
2841,Vlahovic,Dusan Vlahovic,A,25,Juventus,Serbia,https://content.fantacalcio.it/web/campioncini/20/card/2841.png?v=341
6417,Furlanetto,Alessio Furlanetto,P,1,Lazio,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6417.png?v=341
6482,Mandas,Christos Mandas,P,3,Lazio,Grecia,https://content.fantacalcio.it/web/campioncini/20/card/6482.png?v=341
2814,Provedel,Ivan Provedel,P,12,Lazio,Italia,https://content.fantacalcio.it/web/campioncini/20/card/2814.png?v=341
5899,Gigot,Samuel Gigot,D,4,Lazio,Francia,https://content.fantacalcio.it/web/campioncini/20/card/5899.png?v=341
5833,Gila,Mario Gila,D,9,Lazio,Spagna,https://content.fantacalcio.it/web/campioncini/20/card/5833.png?v=341
460,Romagnoli,Alessio Romagnoli,D,8,Lazio,Italia,https://content.fantacalcio.it/web/campioncini/20/card/460.png?v=341
7012,Provstgaard,Oliver Provstgaard,D,3,Lazio,Danimarca,https://content.fantacalcio.it/web/campioncini/20/card/7012.png?v=341
327,Patric,Patric Gabarron,D,4,Lazio,Spagna,https://content.fantacalcio.it/web/campioncini/20/card/327.png?v=341
2263,Lazzari,Manuel Lazzari,D,4,Lazio,Italia,https://content.fantacalcio.it/web/campioncini/20/card/2263.png?v=341
2728,Pellegrini Lu.,Luca Pellegrini,D,3,Lazio,Italia,https://content.fantacalcio.it/web/campioncini/20/card/2728.png?v=341
5620,Tavares N.,Nuno Tavares,D,11,Lazio,Portogallo;Capo Verde,https://content.fantacalcio.it/web/campioncini/20/card/5620.png?v=341
140,Hysaj,Elseid Hysaj,D,3,Lazio,Albania,https://content.fantacalcio.it/web/campioncini/20/card/140.png?v=341
2188,Marusic,Adam Marusic,D,8,Lazio,Montenegro;Serbia,https://content.fantacalcio.it/web/campioncini/20/card/2188.png?v=341
6191,Belahyane,Reda Belahyane,C,4,Lazio,Francia;Marocco,https://content.fantacalcio.it/web/campioncini/20/card/6191.png?v=341
333,Cataldi,Danilo Cataldi,C,5,Lazio,Italia,https://content.fantacalcio.it/web/campioncini/20/card/333.png?v=341
4459,Rovella,Nicolò Rovella,C,8,Lazio,Italia,https://content.fantacalcio.it/web/campioncini/20/card/4459.png?v=341
181,Vecino,Matias Vecino,C,6,Lazio,Uruguay;Italia,https://content.fantacalcio.it/web/campioncini/20/card/181.png?v=341
5674,Basic,Toma Basic,C,1,Lazio,Croazia,https://content.fantacalcio.it/web/campioncini/20/card/5674.png?v=341
4186,Guendouzi,Matteo Guendouzi,C,11,Lazio,Francia;Marocco,https://content.fantacalcio.it/web/campioncini/20/card/4186.png?v=341
6629,Dele-Bashiru,Fisayo Dele-Bashiru,C,11,Lazio,Nigeria;Inghilterra,https://content.fantacalcio.it/web/campioncini/20/card/6629.png?v=341
6398,Isaksen,Gustav Isaksen,C,14,Lazio,Danimarca,https://content.fantacalcio.it/web/campioncini/20/card/6398.png?v=341
632,Zaccagni,Mattia Zaccagni,C,25,Lazio,Italia,https://content.fantacalcio.it/web/campioncini/20/card/632.png?v=341
5500,Cancellieri,Matteo Cancellieri,A,3,Lazio,Italia,https://content.fantacalcio.it/web/campioncini/20/card/5500.png?v=341
6556,Noslin,Tijjani Noslin,A,7,Lazio,Olanda,https://content.fantacalcio.it/web/campioncini/20/card/6556.png?v=341
2489,Pedro,Pedro,A,13,Lazio,Spagna,https://content.fantacalcio.it/web/campioncini/20/card/2489.png?v=341
6226,Castellanos,Taty Castellanos,A,20,Lazio,Argentina,https://content.fantacalcio.it/web/campioncini/20/card/6226.png?v=341
5672,Dia,Boulaye Dia,A,20,Lazio,Senegal;Francia,https://content.fantacalcio.it/web/campioncini/20/card/5672.png?v=341
2134,Falcone,Wladimiro Falcone,P,7,Lecce,Italia,https://content.fantacalcio.it/web/campioncini/20/card/2134.png?v=341
2401,Fruchtl,Christian Fruchtl,P,1,Lecce,Germania,https://content.fantacalcio.it/web/campioncini/20/card/2401.png?v=341
6523,Samooja,Jasper Samooja,P,1,Lecce,Finlandia,https://content.fantacalcio.it/web/campioncini/20/card/6523.png?v=341
5835,Baschirotto,Federico  Baschirotto,D,10,Cremonese,Italia,https://content.fantacalcio.it/web/campioncini/20/card/5835.png?v=341
6632,Gaspar K.,Kialonda Gaspar,D,8,Lecce,Angola,https://content.fantacalcio.it/web/campioncini/20/card/6632.png?v=341
6883,Jean,Gaby Jean,D,3,Lecce,Francia,https://content.fantacalcio.it/web/campioncini/20/card/6883.png?v=341
6989,Tiago Gabriel,Tiago Gabriel,D,2,Lecce,Portogallo,https://content.fantacalcio.it/web/campioncini/20/card/6989.png?v=341
7164,Perez M.,Matias Perez,D,1,Lecce,Cile,https://content.fantacalcio.it/web/campioncini/20/card/7164.png?v=341
7136,Kouassi,Christ-Owen Kouassi,D,4,Lecce,Francia;Costa d''Avorio,https://content.fantacalcio.it/web/campioncini/20/card/7136.png?v=341
6990,Veiga D.,Danilo Veiga,D,2,Lecce,Portogallo;Brasile,https://content.fantacalcio.it/web/campioncini/20/card/6990.png?v=341
4502,Gallo,Antonino Gallo,D,6,Lecce,Italia,https://content.fantacalcio.it/web/campioncini/20/card/4502.png?v=341
7182,Ndaba,Corrie Ndaba,D,1,Lecce,Irlanda;Ghana,https://content.fantacalcio.it/web/campioncini/20/card/7182.png?v=341
5504,Coulibaly L.,Lassana Coulibaly,C,8,Lecce,Mali,https://content.fantacalcio.it/web/campioncini/20/card/5504.png?v=341
6410,Kaba,Mohamed Kaba,C,2,Lecce,Francia;Guinea,https://content.fantacalcio.it/web/campioncini/20/card/6410.png?v=341
5457,Maleh,Youssef Maleh,C,6,Lecce,Italia;Marocco,https://content.fantacalcio.it/web/campioncini/20/card/5457.png?v=341
6633,Pierret,Balthazar Pierret,C,6,Lecce,Francia,https://content.fantacalcio.it/web/campioncini/20/card/6633.png?v=341
6394,Ramadani,Ylber Ramadani,C,6,Lecce,Albania;Kosovo,https://content.fantacalcio.it/web/campioncini/20/card/6394.png?v=341
6015,Berisha M.,Medon Berisha,C,3,Lecce,Svizzera;Kosovo,https://content.fantacalcio.it/web/campioncini/20/card/6015.png?v=341
5872,Helgason,Thorir Johann Helgason,C,8,Lecce,Islanda,https://content.fantacalcio.it/web/campioncini/20/card/5872.png?v=341
6222,Rafia,Hamza Rafia,C,3,Lecce,Tunisia;Francia,https://content.fantacalcio.it/web/campioncini/20/card/6222.png?v=341
6634,Tete Morente,Tete Morente,C,9,Lecce,Spagna,https://content.fantacalcio.it/web/campioncini/20/card/6634.png?v=341
6645,Marchwinski,Filip Marchwinski,C,1,Lecce,Polonia,https://content.fantacalcio.it/web/campioncini/20/card/6645.png?v=341
6549,Pierotti,Santiago Pierotti,C,10,Lecce,Argentina;Italia,https://content.fantacalcio.it/web/campioncini/20/card/6549.png?v=341
6001,Banda,Lameck Banda,A,5,Lecce,Zambia,https://content.fantacalcio.it/web/campioncini/20/card/6001.png?v=341
7001,N'Dri,Konan N'Dri,A,5,Lecce,Costa D''Avorio,https://content.fantacalcio.it/web/campioncini/20/card/7001.png?v=341
6519,Camarda,Francesco Camarda,A,11,Lecce,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6519.png?v=341
6435,Krstovic,Nikola Krstovic,A,20,Atalanta,Serbia;Montenegro,https://content.fantacalcio.it/web/campioncini/20/card/6435.png?v=341
4312,Maignan,Mike Maignan,P,15,Milan,Francia;Guyana Francese,https://content.fantacalcio.it/web/campioncini/20/card/4312.png?v=341
2815,Terracciano,Pietro Terracciano,P,1,Milan,Italia,https://content.fantacalcio.it/web/campioncini/20/card/2815.png?v=341
6813,Torriani,Lorenzo Torriani,P,1,Milan,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6813.png?v=341
4401,Gabbia,Matteo Gabbia,D,6,Milan,Italia,https://content.fantacalcio.it/web/campioncini/20/card/4401.png?v=341
5022,Pavlovic,Strahinja Pavlovic,D,8,Milan,Serbia,https://content.fantacalcio.it/web/campioncini/20/card/5022.png?v=341
6055,Thiaw,Malick Thiaw,D,4,Milan,Germania;Finlandia,https://content.fantacalcio.it/web/campioncini/20/card/6055.png?v=341
4751,Tomori,Fikayo Tomori,D,8,Milan,Inghilterra;Canada,https://content.fantacalcio.it/web/campioncini/20/card/4751.png?v=341
6496,Bartesaghi,Davide Bartesaghi,D,3,Milan,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6496.png?v=341
5273,Estupinan,Pervis Estupinan,D,12,Milan,Ecuador;Spagna,https://content.fantacalcio.it/web/campioncini/20/card/5273.png?v=341
6531,Jimenez A.,Alex Jimenez,D,5,Milan,Spagna,https://content.fantacalcio.it/web/campioncini/20/card/6531.png?v=341
5812,Terracciano F.,Filippo Terracciano,D,3,Cremonese,Italia,https://content.fantacalcio.it/web/campioncini/20/card/5812.png?v=341
4892,Saelemaekers,Alexis Saelemaekers,C,12,Milan,Belgio,https://content.fantacalcio.it/web/campioncini/20/card/4892.png?v=341
5992,Bondo,Warren Bondo,C,3,Cremonese,Francia;Repubblica Democratica del Congo,https://content.fantacalcio.it/web/campioncini/20/card/5992.png?v=341
4686,Fofana Y.,Youssouf Fofana,C,11,Milan,Francia;Mali,https://content.fantacalcio.it/web/campioncini/20/card/4686.png?v=341
5453,Ricci S.,Samuele Ricci,C,10,Milan,Italia,https://content.fantacalcio.it/web/campioncini/20/card/5453.png?v=341
2606,Modric,Luka Modric,C,12,Milan,Croazia,https://content.fantacalcio.it/web/campioncini/20/card/2606.png?v=341
5295,Musah,Junus Musah,C,6,Milan,Inghilterra;Ghana,https://content.fantacalcio.it/web/campioncini/20/card/5295.png?v=341
4199,Loftus-Cheek,Ruben Loftus-Cheek,C,8,Milan,Inghilterra;Giamaica,https://content.fantacalcio.it/web/campioncini/20/card/4199.png?v=341
4856,Chukwueze,Samuel Chukwueze,C,4,Milan,Nigeria,https://content.fantacalcio.it/web/campioncini/20/card/4856.png?v=341
6678,Liberali,Mattia Liberali,C,1,Milan,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6678.png?v=341
2423,Pulisic,Christian Pulisic,C,28,Milan,Stati Uniti;Croazia,https://content.fantacalcio.it/web/campioncini/20/card/2423.png?v=341
4510,Leao,Rafael Leao,A,23,Milan,Portogallo;Angola,https://content.fantacalcio.it/web/campioncini/20/card/4510.png?v=341
