ID,COGNOME,NOME_COMPLETO,RUOLO,VALORE,SQUADRA,NAZIONALITA
7155,Muharemovic,Tarik Muharemovic,D,5,Sassuolo,Bosnia Erzegovina; Slovenia
7154,Odenthal,Cas Odenthal,D,3,Sassuolo,Olanda
2279,Romagna,Filippo Romagna,D,4,Sassuolo,Italia
4374,Walukiewicz,Sebastian Walukiewicz,D,5,Sassuolo,Polonia
6189,Missori,Filippo Missori,D,2,Sassuolo,Italia
6431,Paz Y.,Yeferson Paz,D,1,Sassuolo,Colombia
5851,Doig,Josh Doig,D,6,Sassuolo,Scozia
7156,Pieragnolo,Edoardo Pieragnolo,D,2,Sassuolo,Italia
6219,Boloca,Daniel Boloca,C,6,Sassuolo,Romania;Italia
4930,Ghion,Andrea Ghion,C,4,Sassuolo,Italia
6717,Konè I.,Ismael Konè,C,5,Sassuolo,Canada;Costa d''Avorio
6246,Lipani,Luca Lipani,C,4,Sassuolo,Italia
7157,Iannoni,Edoardo Iannoni,C,1,Sassuolo,Italia
5844,Thorstvedt,Kristian Thorstvedt,C,8,Sassuolo,Norvegia
6815,Fadera,Alieu Fadera,C,6,Sassuolo,Gambia
5735,Volpato,Cristian Volpato,C,5,Sassuolo,Italia;Australia
1842,Pierini,Nicholas Pierini,A,5,Sassuolo,Italia
531,Berardi,Domenico Berardi,A,20,Sassuolo,Italia
6060,Laurientè,Armand Laurientè,A,15,Sassuolo,Francia;Guadalupa
5845,Alvarez A.,Agustin Alvarez,A,2,Sassuolo,Uruguay
7158,Moro L.,Luca Moro,A,1,Sassuolo,Italia
6205,Mulattieri,Samuele Mulattieri,A,5,Sassuolo,Italia
2038,Pinamonti,Andrea Pinamonti,A,15,Sassuolo,Italia
7159,Skjellerup,Laurs Skjellerup,A,1,Sassuolo,Danimarca
216,Donnarumma An.,Antonio Donnarumma,P,1,Torino,Italia
7179,Israel,Franco Israel,P,8,Torino,Uruguay;Italia
5320,Paleari,Alberto Paleari,P,1,Torino,Italia
6210,Popa,Mihai Popa,P,1,Torino,Romania
6642,Coco,Saul Coco,D,8,Torino,Guinea Equatoriale;Spagna
5010,Ismajli,Ardian Ismajli,D,8,Torino,Albania;Kosovo
4665,Maripan,Guillermo Maripan,D,7,Torino,Cile
6041,Schuurs,Perr Schuurs,D,3,Torino,Olanda
49,Masina,Adam Masina,D,3,Torino,Italia;Marocco
6826,Dembelè A.,Ali Dembelè,D,1,Torino,Francia;Mali
4385,Lazaro,Valentino Lazaro,D,7,Torino,Austria
6426,Pedersen,Marcus Pedersen,D,4,Torino,Norvegia
252,Biraghi,Cristiano Biraghi,D,8,Torino,Italia
4890,Tameze,Adrien Tameze,C,5,Torino,Francia;Camerun
6170,Gineitis,Gvidas Gineitis,C,4,Torino,Lituania
5007,Ilic,Ivan Ilic,C,7,Torino,Serbia
5888,Casadei,Cesare Casadei,C,12,Torino,Italia
6889,Anjorin,Faustino Anjorin,C,10,Torino,Inghilterra;Nigeria
5687,Vlasic,Nikola Vlasic,C,15,Torino,Croazia
6145,Ngonge,Cyril Ngonge,A,9,Torino,Belgio;Repubblica Democratica del Congo
6646,Adams C.,Che Adams,A,14,Torino,Scozia;Inghilterra
6827,Njie,Alieu Njie,A,1,Torino,Svezia:Gambia
479,Sanabria,Antonio Sanabria,A,7,Cremonese,Paraguay;Spagna
608,Zapata D.,Duvan Zapata,A,20,Torino,Colombia
6462,Okoye,Maduka Okoye,P,6,Udinese,Nigeria;Germania
543,Padelli,Daniele Padelli,P,1,Udinese,Italia
6842,Sava,Razvan Sava,P,4,Udinese,Romania
5820,Bertola,Nicolò Bertola,D,6,Udinese,Italia
6533,Giannetti L.,Lautaro Giannetti,D,3,Udinese,Argentina;Italia
4263,Kabasele,Christian Kabasele,D,3,Udinese,Belgio;Repubblica Democratica del Congo
6925,Palma,Matteo Palma,D,1,Udinese,Germania;Italia
6956,Solet,Oumar Solet,D,11,Udinese,Francia;Repubblica Centrafricana
6485,Kristensen T.,Thomas Kristensen,D,7,Udinese,Danimarca
6047,Ehizibue,Kingsley Ehizibue,D,5,Udinese,Nigeria;Olanda
5555,Kamara H.,Hassane Kamara,D,7,Udinese,Francia;Gambia
6211,Zemura,Jordan Zemura,D,3,Udinese,Zimbabwe;Inghilterra
6900,Rui Modesto,Rui Modesto,D,3,Udinese,Angola;Portogallo
6680,Karlstrom,Jesper Karlstrom,C,6,Udinese,Svezia
6212,Zarraga,Oier Zarraga,C,3,Udinese,Spagna
6908,Atta,Arthur Atta,C,7,Udinese,Francia;Benin
